path,event,source,label_id,label_name,split
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\crying sobbing wail\crying_sobbing_wail_726.wav,crying sobbing wail,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_714.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\crying sobbing wail\crying_sobbing_wail_506.wav,crying sobbing wail,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_46.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_925.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_484.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_43.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_445.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_368.wav,driving,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_853.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_59.wav,driving,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\engine\engine_247.wav,engine,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\crying sobbing wail\crying_sobbing_wail_852.wav,crying sobbing wail,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_723.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_801.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_132.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\crying sobbing wail\crying_sobbing_wail_657.wav,crying sobbing wail,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\engine\engine_163.wav,engine,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_467.wav,driving,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_210.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_48.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_263.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_214.wav,driving,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_940.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_333.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_183.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_443.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_331.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_570.wav,driving,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_230.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_780.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_690.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_322.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_460.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_421.wav,driving,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_516.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_283.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\engine\engine_285.wav,engine,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cat\cat_292.wav,cat,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_125.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\dog\dog_789.wav,dog,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\cough\cough_634.wav,cough,reference,1,distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_958.wav,driving,reference,0,non_distress,train
C:\Users\khins\Downloads\audio-event-detection-main (1)\audio-event-detection-main\data\DisasterDataset\reference\driving\driving_555.wav,driving,reference,0,non_distress,train
